DOLNOŚLĄSKIE;DsBogatMob;DsBogatFrancMOB;Bogatynia Mobil;Bogatynia; Francuska 1
DOLNOŚLĄSKIE;DsCzer02;DsCzerStraza;Czerniawa;Czerniawa; Strażacka
DOLNOŚLĄSKIE;DsDzia01;DsDzialoszyn;Działoszyn;Działoszyn; Piłsudskiego 18
DOLNOŚLĄSKIE;DsDzierPilsA;DsDziePilsud;Dzierżoniów - Piłsudskiego;Dzierżoniów; Piłsudskiego
DOLNOŚLĄSKIE;DsGlogWita;DsGlogWiStwo;Głogów - Wita Stwosza;Głogów; Wita Stwosza
DOLNOŚLĄSKIE;DsJeleniaGoraA;DsJelGorOgin;Jelenia Góra - Ogińskiego;Jelenia Góra; Ogińskiego 6
DOLNOŚLĄSKIE;DsJeleniaGoraPM;DsJelGorSoko;Jelenia Góra - Sokoliki;Jelenia Góra; Sokoliki 6
DOLNOŚLĄSKIE;DsKlodzkoA;DsKlodzSzkol;Kłodzko - Szkolna;Kłodzko; Szkolna 8
DOLNOŚLĄSKIE;DsLegRzeczA;DsLegAlRzecz;Legnica - Rzeczypospolitej;Legnica;al. Rzeczypospolitej 10
DOLNOŚLĄSKIE;DsNRudaSrebP;DsNowRudSreb;Nowa Ruda - Srebrna;Nowa Ruda; Srebrna 1a
DOLNOŚLĄSKIE;DsOlawaSemi;DsOlawZolnAK;Oława - Żołnierzy AK;Oława; Żołnierzy AK 9
DOLNOŚLĄSKIE;DsOlesnicaPM;DsOlesBrzozo;Oleśnica - Brzozowa;Oleśnica; Brzozowa 7
DOLNOŚLĄSKIE;DsPolkKasz;DsPolKasztan;Polkowice - Kasztanowa;Polkowice; Kasztanowa
DOLNOŚLĄSKIE;DsSniezka;DsSniezkaObs;Śnieżka;Śnieżka
DOLNOŚLĄSKIE;DsSwidMob;DsSwidnMarciMOB;Świdnica - Marcinkowskiego;Świdnica; Karola Marcinkowskiego 4-6
DOLNOŚLĄSKIE;DsSwidRynek;DsSwidnRynek;Świdnica - Rynek;Świdnica; Rynek 43
DOLNOŚLĄSKIE;DsSzczDZPM;DsSzczaKolej;Szczawno-Zdrój - Kolejowa;Szczawno-Zdrój; Kolejowa 14
DOLNOŚLĄSKIE;DsWalbWysA;DsWalbrzWyso;Wałbrzych - Wysockiego;Wałbrzych; Wysockiego 11
DOLNOŚLĄSKIE;DsWrocWisA;DsWrocAlWisn;Wrocław - Wiśniowa;Wrocław;al. Wiśniowa
DOLNOŚLĄSKIE;DsWrocBartA;DsWrocBartni;Wrocław - Bartnicza;Wrocław; Bartnicza
DOLNOŚLĄSKIE;DsWrocGrobla;DsWrocNaGrob;Wrocław - Na Grobli;Wrocław; Na Grobli
DOLNOŚLĄSKIE;DsWrocOrzech;DsWrocOrzech;Wrocław - Orzechowa;Wrocław; Orzechowa 61
DOLNOŚLĄSKIE;DsWrocKorzA;DsWrocWybCon;Wrocław - Korzeniowskiego;Wrocław; Wyb. J.Conrada-Korzeniowskiego
DOLNOŚLĄSKIE;DsZabkowSemi;DsZabkPowWar;Ząbkowice Śląskie;Ząbkowice Śląskie; Powstańców Warszawy 5
DOLNOŚLĄSKIE;DsZgorzBohA;DsZgorBohGet;Zgorzelec - Bohaterów Getta;Zgorzelec; Bohaterów Getta
DOLNOŚLĄSKIE;DsZlotoryjaPM;DsZlotoStasz;Złotoryja - Staszica;Złotoryja; Stanisława Staszica 22
KUJAWSKO-POMORSKIE;KpBrodnicaKochanowskiego;KpBrodKochan;Brodnica, Kochanowskiego;Brodnica; Kochanowskiego
