DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;LbBialaPOrzechowa;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MzWarszKrucza;PkPrzemWIOSDolin
5;43,5;44,1;20;15;35;48,5;39,8;31;54,56
6;24,2;0;0;0;37;45,4;29,4;0;0
7;3,9;19,6;0;15;33;23,6;0;0;90,63
2;4,6;0;0;0;0;19;0;45,3;0
4;33;26,3;21;14;47;40,1;0;33,5;27,31
8;46,2;0;0;0;35;29,6;22,9;24,2;0
30;33,5;30,5;30;11;46;36;17,7;42,8;26,36
13;23;0;0;0;39;38,8;20,1;30,4;0
8;0;31,2;0;14;59;35,4;27,5;0;52
14;0;0;0;0;29;37,8;28,8;37,2;0
22;0;19,7;0;10;0;34,1;21;0;50,04
31;0;0;0;0;35;38,9;34;29,1;0
29;0;0;0;0;0;41,9;30,5;0;57,12
18;0;0;0;0;20;38,2;0;19,2;0
23;0;29;0;11;0;28;0;0;49,06
36;0;0;0;0;37;41,3;0;29,8;0
28;0;29,6;0;19;34;37,2;0;0;62,26
11;0;0;0;0;0;34,3;18,8;0;0
13;12,6;20,4;25;17;39;31,4;13;29,1;38,11
41;29,8;0;0;0;27;39,1;21,8;32,9;0
41;11,3;17,6;13,6;14;25;34,6;12,9;27,3;36,7
0;0;0;0;0;21;31,8;13,4;22,3;0
24;23,3;8,4;0;18;24;26,9;8,4;0;37,01
18;26,5;0;0;0;23;23,2;12,4;22,3;0
8;24;19,4;0;14;0;23,3;14,3;0;0
12;29,5;0;0;0;45;27,6;18,7;34,1;0
35;28,7;32,7;16,6;15;65;36,4;22,8;44,6;71,34
11;25,6;0;0;0;44;36,5;21,6;35,3;0
21;23,1;19,7;16,3;11;42;40,2;15,1;39,1;59,81
17;0;0;0;0;28;34,2;0;0;0
31;14,9;25,1;0;6;17;25,1;0;0;34,08
12;19,1;0;0;0;0;26,1;0;29,8;0
16;24,3;20,2;12,3;8;22;30,7;0;31,6;36,49
20;0;0;0;0;34;22,8;0;41,5;0
31;48;0;16,3;14;42;32,1;0;28,5;41,74
0;35,7;0;0;0;38;36,1;0;41,5;0
0;23,3;0;0;10;20;35,6;0;0;40,98
0;24,9;0;0;0;22;28,5;0;32,9;0
42;38;0;0;13;0;29;0;0;40,08
38;9,6;0;0;0;21;31,1;0;20,5;0
37;28,1;8,9;12,4;7;32;28,7;0;18,6;27,9
0;22;0;0;0;25;26,9;16,5;16,7;0
