Kod stacji;DsJelw05;DsLegZlotor;DsLubinMaj;DsNRudaSrebPArch;DsSwidRynekArch;DsWrocWie;KpCiechoTezniowa;KpSadlog;KpSwiecGruczno;KpSwiecKolejowa;KpTorunDziewulsk;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdKutnoWIOSMWilcza;LdLodzWSSEMWodna40;MpAndrycWSSEKrak1801;MpBochniWSSESoln0102;MpChrzanWSSEGrzy0301;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MpKrakowWSSERPod6113;MpNoTargWSSESzaf1102;MpOswiecWSSEWiez1301;MpTarnowWSSEMosc6301;MpWielicWIOSNiep1904;MzCiechStrazacka;MzOstrolTargowa;MzWarszBernWoda;MzWarszKrucza;MzWarszZelazWSSE;OpKkozle243;OpOpole45p;OpPrud189p;PdBialyLegionowa8;PdLomzaKopernika16;PdSuwPulaski;PkJasloWIOSFlor;PkPrzemWIOSPDom;SkChecBiaZag;SkKielJagiel;SkOzarowMiec;SkOzarowOsWz;WmOlsztyWSSE_Zolnier;WpKonin31018;WpLeszno411000;WpPila5710111;WpPoznan63117;ZpGryfWiduchowa003;ZpSzczWSSESped6
37903;2,5;33,9;15;8,81;31;13,5;14,31;7;0;8;17;0;5;10;13,6;24;17,4;11,4;0;18;17;0;6;0;17;0;12;8;0;21,1;20;28,9;8;11;22;28;3;36;0;38,1;38,2;0;0;19;4;15;13;17,6;0;19;0;20;12,8;13
37904;4,625;0;0;5,73;52;8,6;0;15;14;9;23;13,8;8;3;0;19;17,5;11,2;0;21;24;0;13;0;18;0;7;3;0;23,1;16;16,6;3;12,8;23;0;21;0;0;0;0;0;0;28;8;19;15;10,6;23;0;0;14;23,5;9
37905;3,708;0;0;4,72;30;13,6;9,26;9;10;8;19;0;0;9;10,1;16;15,5;17,6;0;17;11;0;13;0;22;0;0;6;0;35,3;5;12,4;5;27,4;14;0;20;0;0;0;19,5;0;0;22;7;21;12;3,1;20;18;25;15;10,4;10
37906;4,833;0;16;3,45;31;15,6;0;7;8;6;9;0;0;0;0;16;11,9;6,4;0;0;25;0;27;0;18;0;0;13;0;22,2;10;8,1;5;11;11;0;24;0;0;0;0;0;0;15;6;16;12;2,3;0;0;0;14;7,9;12
37907;4,25;30,2;25;29,07;50;15,8;11,76;6;10;9;16;0;4;11;11;18;14,6;12;0;24;29;0;34;0;33;0;12;8;0;0;10;8,1;4;11;17;0;24;0;0;49;20;18;32;26;6;9;9;3,7;0;31;22;18;14,3;18
37908;6,826;33,5;21;21,78;51;14,6;0;5;7;9;9;15,1;3;3;0;25;19,7;13;31;28;35;0;49;62,25;46;0;18;24;0;50,5;12;6,1;5;5,5;10;61;32;94;0;0;0;30;56;31;12;11;12;8,8;0;0;16;18;10,5;19
37909;3,583;25;26;1,5;46;15,4;18,82;5;6;10;10;0;6;12;12,8;22;15,4;12;30;22;29;0;35;47,417;25;0;20;33;0;36,7;10;14;4;11;16;0;32;0;0;23,9;23,4;17;33;25;9;11;10;38,1;8;29;20;13;16,6;17
37910;4,5;29,2;27;3,1;51;25,2;0;12;15;11;37;21,1;20;17;0;24;27,6;7,1;81;27;56;0;37;57,045;36;0;15;58;0;35,6;30;41,3;4;12,8;36;0;66;0;0;0;0;0;0;15;26;15;19;24,4;0;0;44;26;15,5;25
37911;8,125;0;36;0;0;35,5;10,86;36;68;22;81;0;21;17;11,6;23;22,1;17,9;94;31;45;0;36;47,917;23;0;8;51;0;25,4;22;55,5;9;29,3;38;0;40;0;0;56,8;61,1;0;0;32;43;0;0;56,6;0;48;0;49;34,2;50
37912;13;0;31;0;52;0;0;42;59;32;75;0;0;0;0;28;33,1;20,8;120;57;51;0;0;86,25;71;0;56;70;0;54,4;43;79,7;5;54,9;47;118;0;114;0;0;0;0;0;63;54;0;0;28,4;0;0;0;61;59,5;95
