DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor
26,5;0;0;45,042;26,458;21;24;30,46;0
17,6;0;0;41,292;18,917;14;19;30,56;0
21,7;0;0;36,75;26,917;13;22;33,98;0
18,8;0;0;27,708;30,917;23;25;25;0
14,6;0;0;20,542;22,458;9;24;24,35;0
11,2;0;0;22,167;17,792;13;14;18,15;0
14,6;0;0;14,125;11,458;8;14;21,2;0
15,2;0;0;31,292;25,042;9;18;25,37;0
13,9;13,3;0;16,583;13,167;4;14;30,55;0
17,4;16,8;0;11,417;9,458;13;15;28,24;0
22,1;9,2;0;15,75;15,875;8;24;29,91;0
14,7;14,6;0;15,417;10,875;10;17;20,74;0
19,7;0;0;18,375;15,5;18;22;30;0
21,1;0;0;23,833;17,875;13;25;38,7;0
21,2;4,9;0;28,375;28,375;3;30;26,67;0
20,1;8,9;0;32,25;32,792;3;29;29,91;0
18,6;17,3;0;14,333;11,667;8;26;21,11;0
18,2;15,5;0;29,583;21,333;11;34;23,8;0
17,3;14,7;0;19,292;21,667;13;31;27,96;0
11;0;0;28,708;20,875;7;31;23,33;0
8,6;0;0;14,208;18;4;28;20,83;0
12,1;4,2;0;8;9,083;5;16;11,39;0
10,3;4,3;0;12,375;10,625;7;20;14,54;0
9,8;4,5;0;7,75;6,208;6;13;12,78;0
14,2;0;0;10,917;10,917;10;25;13,43;0
12;0;0;13,25;14,167;2;23;15,56;0
10,1;0;0;24,125;23,5;8;31;25;0
11,4;0;0;16,208;14,792;9;29;23,89;0
15,9;6,8;0;14,667;10,458;7;21;18,06;0
19,1;9;0;18,708;17,708;7;32;22,83;0
14,4;7,9;0;19,708;8,708;6;23;16,2;0
12,2;7,1;0;31,458;6,417;2;22;10,74;0
17,6;11,2;0;38,458;7,75;8;27;23,52;0
17,3;0;0;25,667;9,333;5;33;29,81;0
14,1;0;0;21,5;5,083;10;14;15,28;0
15,7;0;0;35,417;6,875;11;18;15,17;0
17,8;3,5;0;26,833;13,75;6;24;24,63;0
14,8;7,7;0;18,875;17,083;5;19;20,46;0
14,9;3,5;0;17,083;4,5;8;11;14,07;0
12;3,5;0;28,5;7,208;8;17;16,02;0
16,3;3,5;0;28,708;6,958;11;13;15,46;0
14;0;0;20,667;11,417;1;14;14,42;0
18,8;0;0;22,208;17,833;9;23;16,94;0
20,5;17,9;0;21,826;20,583;7;23;26,76;0
16,3;13,3;0;23,042;19,917;5;24;27,22;0
14,1;10,8;0;17,542;10,565;3;10;11,57;0
14,4;7,9;0;22,708;12,083;0;14;16,94;0
16;11,3;0;10,25;6,583;2;5;10,83;0
14,8;0;0;17,292;10,542;3;10;20,83;0
17;0;0;19,542;10,917;1;10;15,74;0
16,8;9,3;20;19,917;10,125;2;5;17,69;0
23,9;10,7;19;24,333;15,458;9;16;24,63;0
25,1;13,1;17;19,958;17,167;13;18;26,76;0
15,9;12;15;14,917;12,25;5;19;23,98;0
15,6;13,5;11;10,583;8,917;3;13;18,98;0
14,8;0;13;13,375;10,5;9;12;19,35;0
14,3;0;14;19,125;18,375;6;14;21,39;0
12,5;3,5;8;14,167;14,083;5;18;15,65;0
14,9;10,5;15;16,458;11;6;29;24,35;0
17,6;8,6;17;15,833;16,958;7;20;19,35;0
21,3;9,1;11;15,542;14,917;6;26;19,91;0
11,9;7,1;11;12,75;9,208;5;19;10,65;0
12,1;0;12;11,208;13,25;7;18;14,44;0
17,4;0;11;12,458;10,5;4;25;17,41;0
18,1;9;14;8,958;7,125;7;18;13,61;0
13,1;8,3;11;18,167;10,875;9;26;24,44;0
15,4;9,3;13;32,667;14,583;8;29;27,31;0
0;8;16;16,375;13,75;8;21;21,94;0
0;0;13;8,333;9,25;13;13;10,37;0
0;0;12;9,917;9,5;13;15;12,69;0
0;7;14;7,875;10,042;11;18;15,37;0
0;7,6;9;6,708;7,375;7;16;9,35;0
0;7;10;5,458;6,167;9;14;9,26;0
0;9,2;13;11,042;13,667;11;16;11,94;0
0;7;13;17,25;18,083;14;25;17,41;0
0;0;12;17,417;16,708;10;18;17,5;0
0;0;11;13,25;13,696;6;15;13,33;0
0;8,6;12;10,292;10,958;9;12;11,94;0
0;7;14;9,917;12;11;18;15,83;0
0;17,3;14;19,958;23,333;7;21;21,11;0
0;8,7;13;17,125;18,958;7;17;18,61;0
0;11,8;17;17,958;20,375;13;28;24,26;0
0;0;10;20,292;18,458;11;21;20,37;0
0;0;9;14,25;12,417;8;13;13,89;0
0;7;8;10,417;10,208;7;18;13,52;0
0;8,4;10;11,833;13,792;6;16;24,35;0
0;7;7;8,542;7,917;11;14;18,52;0
0;12,7;8;11,125;10,875;7;13;19,44;0
0;7,6;13;15,208;14,81;7;17;18,98;0
0;0;10;13,458;18,318;11;20;20,09;0
0;0;9;8,875;8,333;10;0;16,85;0
0;7;9;13,333;12,667;7;0;22,87;0
0;7;11;17,708;17,25;0;0;18,8;0
0;7;10;26,667;16,333;0;0;23,43;0
0;7;10;27,417;16,625;0;0;46,67;0
0;13,8;16;50,167;28,292;25;0;25,19;0
0;0;16;22,75;24,625;20;0;20,28;0
0;0;9;16,125;17,708;12;0;14,26;0
0;7;9;8,083;7,333;13;0;11,02;0
0;7;14;5,75;6,5;8;0;7,13;0
0;7;14;21,542;16,042;15;21;13,98;0
0;12,7;13;25,958;16,708;19;24;26,02;0
0;14,4;11;20,75;20,958;13;13;17,96;0
0;0;10;11,833;10,792;14;5;9,26;0
0;0;11;9,375;9;14;5;10,28;0
0;13,4;17;12,292;11,583;9;15;14,26;0
0;20,1;17;15,375;18,208;12;16;15,28;0
0;18,6;12;19,292;23;7;11;18,06;0
0;13,8;12;26,083;24,875;9;13;25,56;0
0;0;10;31,083;32,917;6;15;18,06;0
0;0;5;8,167;7,542;0;5;4,35;0
0;0;8;5,292;6,25;0;5;6,76;0
0;13,9;13;13,75;14,333;0;17;15,37;0
0;13,3;17;33,708;17,25;0;20;18,8;19
0;7;13;30,083;21,542;0;20;17,87;19
0;14,9;16;16,478;12,917;0;17;15,93;20
0;12,4;17;28,458;18,042;0;24;17,87;24
0;0;10;25,958;21;0;5;13,98;22
0;0;6;12,708;11,875;0;5;9,35;12
0;10,5;11;14,208;14,458;0;5;11,85;17
0;18,9;19;20,917;0;0;14;23,89;11
0;22,5;26;35,364;0;0;18;40,74;33
0;20,7;19;28,75;26,174;0;22;29,35;12
0;7;9;14,917;14,458;0;16;15,93;21
34;0;16;10,667;9,783;0;5;10,19;18
16,7;0;11;15,667;12,75;0;17;29,91;23
19,2;15,6;17;0;24,083;0;19;24,26;28
19,7;20,4;18;0;26,227;0;20;21,2;24
19,2;28,1;22;40,958;37,542;0;33;28,15;29
14,6;20,5;19;28,583;28,167;0;26;22,41;26
18,9;25,6;26;36,542;28,792;0;37;31,39;35
21,9;0;21;0;29,25;0;28;31,02;27
12,5;0;14;0;23;0;18;19,63;19
22,4;7,3;12;0;10,125;0;5;6,48;10
12,6;14,9;17;23,042;22,625;0;14;19,07;21
20,2;20,2;25;29,739;28,417;0;17;27,59;28
19;26;26;32,083;29,5;0;28;30;26
12,7;14,7;6;22;20,458;0;21;23,8;28
8,5;0;11;9,625;6,083;29;11;11,94;13
9,8;0;9;14,958;8,333;5;16;18,98;16
11,7;7;9;12,833;8,625;7;16;17,69;19
12,7;7;12;3,375;4,25;8;12;10,19;20
15,3;7,3;13;6,083;8,333;6;15;15,37;21
19,6;8,2;20;12,542;16,167;6;25;27,69;31
16,2;7;17;12,958;16,083;7;19;25,93;32
9,9;0;13;11,708;15,125;6;20;13,61;22
10,7;0;16;10,833;11,75;8;21;11,3;22
17,2;0;14;26,5;25,292;0;29;18,06;34
14,1;0;15;34,947;32,583;0;34;22,87;49
18,2;0;14;13,083;11,083;17;22;20,46;23
15,1;0;22;14,917;10,583;15;18;20;17
22,5;0;34;20,042;18,125;17;22;33,24;30
20,4;0;33;41,042;36,583;31;30;28,06;48
18,2;0;29;47,417;54,667;14;32;59,54;36
33,5;0;37;41;43,667;8;30;46,76;30
24;0;27;38,458;39,375;6;32;43,15;29
7,8;0;10;5,583;4,667;2;15;18,98;5
12,2;0;18;15,458;11,208;0;16;16,85;13
