DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MzWarszKrucza;PdLomzaKopernika16;PdSuwPulaski;WpPila5710111;ZpSzczWSSESped6
8;13,3;0;0;21;0;0;35;30,3;0;46;84,5;32,9;0;0;0;48
6;14,1;27,8;19,3;7;13;4,7;33;36,5;0;27;87,3;12,8;31,2;57,5;41;16
7;20,9;0;0;9;0;0;25;20,6;0;23;32,7;16,5;0;0;0;0
9;13,4;16,9;0;0;8;7,2;17;20,4;0;24;44,7;53;16,7;50,2;33;0
7;30,2;0;0;0;0;0;24;19,3;0;0;38,3;27,4;0;0;0;0
9;24,3;31,9;28,2;0;10;6,5;34;29,6;0;46;79,3;36,6;20;55,6;0;0
8;20;0;0;0;0;0;31;33,3;0;44;80,6;42,1;0;0;58;0
8;14,7;11,9;22,5;0;10;12,5;22;27;29,5;22;63,2;20,1;27,1;64;0;0
7;26,1;0;0;0;0;0;34;26,1;34,1;34;58,3;20,1;0;0;22;29
7;12,2;0;0;0;7;7,8;22;32,2;31,5;30;65,8;25,6;38,1;62,7;0;0
5;13,3;0;0;0;0;0;13;19,2;0;18;28,5;14,6;0;0;50;0
6;12,6;0;0;0;6;8,3;10;18,8;0;0;24,6;64;10,3;21,4;0;0
0;11,3;0;0;0;0;0;10;16,9;0;15;26,3;12,8;0;0;0;0
2;31,6;0;0;0;7;12,5;25;16;0;39;46,8;14,6;41,3;29,8;61;7
6;31,5;0;14,9;0;0;0;36;25,9;0;45;52,5;67,7;0;0;47;0
9;0;0;0;0;0;15,9;48;41,3;0;62;63,6;20,1;19,7;35,4;0;0
10;0;0;0;0;0;9,9;34;34,4;0;0;54,7;34,8;33,1;29,5;0;0
8;0;0;0;0;0;0;24;25;0;29;30,7;16,5;0;0;19;0
10;0;0;0;0;6;4,8;26;21;0;0;28,7;14,6;40,1;17,3;0;0
12;25,2;0;0;0;0;0;17;18,5;14,2;25;42,2;60,4;0;0;40;13
9;26,2;112,4;37,7;0;28;8,5;30;15,7;23,3;31;31,3;12,8;59;63,1;0;7
11;71,6;0;0;0;0;0;40;32,1;49,7;43;54,1;25,6;0;0;63;0
19;52,7;86,6;54,1;0;10;6,9;49;37,3;0;68;99,7;76,8;45,2;63,7;136;3
10;0;0;0;0;0;0;55;44,6;0;54;74,8;34,8;0;0;0;0
2;0;46,3;0;0;0;12,2;28;34,4;0;24;49;45,7;12,6;71,4;0;0
6;0;0;0;0;0;0;27;19,1;0;0;31,3;11;0;0;71;0
7;0;42,9;0;0;0;10;36;25,3;0;0;40,2;12,8;39,8;61,2;0;0
7;51,3;0;0;0;16;0;36;40;0;55;73,9;86;0;0;0;0
8;39,1;59,6;40,2;0;13;9,7;27;27,1;0;58;135;32,9;15,5;70,3;81;0
14;60,6;0;0;23;0;0;43;42,4;44,2;54;206,5;25,6;0;0;0;8
17;61,2;30,3;0;24;11;16,2;30;34,9;37,5;79;184,9;76,8;30;69,5;0;0
25;83,8;0;0;0;0;0;30;39,7;53,9;51;102,8;36,6;0;0;36;0
7;26,3;91,4;0;0;12;10,8;20;30,6;0;0;46,6;16,5;27,8;52,8;0;0
8;51,9;0;0;16;0;0;73;39,7;0;58;76;31,1;0;0;0;4
10;16,4;27,2;31,6;6;25;13,2;53;56,1;0;52;123,5;40,2;38,6;45,7;40;4
4;61,1;0;0;4;0;0;32;25,4;0;35;48;95,1;0;0;60;4
13;76,1;33;52,9;16;16;10,7;55;35,5;0;48;109,2;40,2;33;101,2;15;15
11;72;0;0;17;0;0;75;56,6;73,2;56;123;98,8;0;0;0;0
6;21,1;49,5;0;0;15;9,1;57;59,8;48,5;50;43,4;47,6;23;84,9;102;0
6;48,5;0;0;0;0;0;45;34,3;34,5;0;66,6;31,1;0;0;0;0
12;53,2;29,8;62,5;13;6;7,7;33;31,1;0;30;111,2;23,8;23;57,3;104;4
10;52,7;0;0;15;0;0;34;37,5;0;53;123,8;25,6;0;0;94;0
6;34;22,7;37,7;6;12;10,5;52;39,7;0;38;92,4;27,4;17,1;58,6;46;0
7;88,2;0;0;16;0;0;43;0;0;38;0;14,6;0;0;72;0
10;69,8;26,4;0;9;6;7,7;43;0;0;38;88,3;31,1;28,8;33,1;0;0
7;22,8;0;0;0;13;0;18;0;0;16;0;45,7;0;0;28;0
4;45;39,3;0;0;6;12,7;24;0;0;0;0;16,5;47,3;38,6;0;0
6;56;0;0;8;0;0;30;0;31,3;33;80;49,4;0;0;0;0
15;28;46,2;0;5;13;10,8;39;0;39,5;42;50;25,6;95;49,5;75;0
12;36,5;0;0;7;0;0;53;0;49,3;48;79;34,8;0;0;0;0
17;39,4;45,8;0;8;6;15,2;29;0;0;47;53;38,4;89,2;52,4;65;0
12;40,8;0;0;6;0;0;42;0;0;36;42;71,3;0;0;0;0
15;41,8;36,1;0;0;6;9,6;30;0;0;24;61;34,8;52,2;55,4;57;0
16;26,5;0;0;0;0;0;32;0;0;0;52;45,7;0;0;0;0
11;69,1;59,2;0;32;95;8,3;111;0;0;72;79;53;431,2;114;141;0
31;188,3;0;0;33;0;0;151;0;0;104;138;109,7;0;0;225;15
53;200,8;61,8;0;14;62;15,5;181;0;0;114;204;171,9;230,7;61;176;11
44;161,3;0;0;28;0;0;199;0;284,8;122;213;173,8;0;0;132;11
34;115,3;133,3;0;37;67;14,2;152;0;256,8;98;247;215,8;194,1;63,9;0;17
22;95,6;0;0;0;0;0;81;0;161,2;52;160;104,3;0;0;129;0
33;100,5;36;0;0;12;7,8;41;0;0;0;87;31,1;73,8;55,4;0;0
20;61,4;0;0;22;0;0;51;98,7;0;49;83;45,7;0;0;100;6
6;45,6;69,9;0;35;15;8,8;56;0;0;76;133;64;89,2;80,7;123;0
10;23,4;0;0;8;0;0;64;0;0;55;66;73,2;0;0;60;11
4;66;59,3;0;12;40;8,4;57;0;0;52;65;62,2;112,6;99,2;80;10
9;0;0;0;18;0;0;59;49,1;0;70;219;54,9;0;0;11;0
9;0;49,5;0;0;27;13;55;48,6;0;57;138;80,5;83,4;0;0;0
8;0;0;0;0;0;0;70;47,4;0;0;56;29,3;0;0;0;0
17;0;136,5;0;38;51;9,6;62;29,8;0;74;69;56,7;161,1;56,6;117;0
22;0;0;0;50;0;0;134;101,6;0;118;116;113,4;0;0;0;0
34;0;88,7;0;26;0;13,7;116;88,4;0;0;151;51,2;111,2;90,4;132;0
6;0;0;0;38;0;0;61;7,3;0;0;268;157,1;0;0;0;0
5;0;79,4;0;16;27;15,8;36;0,6;0;75;358;82,2;14,5;217,5;0;0
13;0;0;0;0;0;0;69;0,6;0;65;199;56,7;0;0;0;0
16;0;36,3;0;0;30;12,5;49;0,6;0;0;137;64;26,3;110,7;0;0
5;0;0;0;8;0;0;23;0,6;0;25;73;29,3;0;0;36;0
12;0;0;0;9;0;8,4;95;0,6;0;0;38;58,5;78,8;60,9;0;0
