DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MzWarszKrucza;PdLomzaKopernika16;PdSuwPulaski;WpPila5710111;ZpSzczWSSESped6
22;40,7;0;0;11,6;0;12,3;49;52,6;74,5;45;267,8;38,4;0;0;49;91
7;20,4;18;12,8;4;7;6;10;23,3;0;13;110,8;7,3;33,8;19,8;0;0
8;30,3;0;0;4,7;0;13,5;23;19,4;0;0;69,8;27,4;0;0;0;0
11;0;36,5;0;0;21;13,3;40;31,7;0;44;123,9;69,5;44,4;41,7;94;0
0;0;0;0;0;0;11,6;22;24,9;0;0;87,5;18,3;0;0;0;0
0;23,2;0;35,6;20,3;21;15,2;40;28,4;0;42;172,6;29,3;33,7;67,6;92;7
0;56,4;0;0;62,1;0;20,5;72;43,1;0;68;231,3;43,9;0;0;0;3
0;0;0;29,9;28,7;45;18,5;81;0;0;88;242,6;45,7;31,1;161,5;32;0
0;12,6;0;0;8;0;4,9;54;0;64,1;20;186,2;78,7;0;0;0;4
0;31,7;0;0;11,6;8;6,1;33;0;46,7;20;92,3;16,5;26,4;14;0;0
0;81,6;0;0;0;0;17,3;50;31,9;72,4;28;107,3;69,6;0;0;0;0
0;67,9;0;0;0;20;18,2;49;41,7;0;0;119,1;36,6;40;34,7;0;0
0;52,4;0;0;42,2;0;14,5;66;56,8;0;72;157,8;62,2;0;0;106;0
0;27,4;0;13,1;13,4;12;4,2;44;48,3;0;34;161,2;49,4;30;48,2;40;8
0;21,7;0;0;8,7;0;8,8;24;20,6;0;26;55,3;14,6;0;0;27;0
0;18;0;9,1;6,8;7;14;24;23,1;0;21;55,6;20,1;41;14,6;26;0
0;11,5;0;0;5,8;0;14,7;18;18,9;0;20;44,9;54,9;0;0;0;0
0;0;0;0;0;8;19;20;17,1;0;19;36,4;7,3;14;11,2;20;0
0;0;0;0;0;0;16,2;14;14,6;9,8;0;39,7;31,1;0;0;0;0
0;28,9;24,7;25,3;4,4;7;13,1;29;18,4;27,2;35;46,9;20,1;27,5;22,5;31;0
2;32,5;0;0;6,5;0;11,2;35;23,2;44,5;40;57,2;29,3;0;0;23;0
7;45,8;38,7;12,9;4,8;37;10,3;82;39,4;0;53;63,1;40,2;52,4;40,7;57;0
13;80,6;0;0;6,2;0;14,1;63;43,4;0;75;90,2;25,6;0;0;96;6
8;0;0;0;7,2;54;14,1;81;50,5;0;87;140,7;32,9;33,7;30,8;0;0
7;0;0;0;0;0;26,7;89;72,8;0;78;113,6;75;0;0;88;0
5;0;0;0;0;0;19,8;64;75,3;0;0;99,3;36,6;11,1;74,4;0;0
11;0;0;0;0;0;19,4;54;44,5;0;0;76,8;80,5;64,1;0;0;0
12;53,5;0;0;5;0;11,3;52;42,6;0;49;75,8;38,4;0;0;31;40
16;46,1;28,1;42,3;4;24;11,3;40;30,2;60,8;39;69,4;14,6;37,1;33,6;0;61
15;56,5;0;0;5;0;3,4;44;29,8;47,3;36;88,8;102,6;0;0;64;57
8;33,3;20,8;0;4;17;7,5;38;32,3;48,7;28;60,4;75;77,4;47,5;0;0
4;29,4;0;0;0;0;6,6;45;28,8;0;40;52,9;25,6;0;0;0;0
4;60;31,9;0;0;15;3,7;40;35,7;0;0;73,4;84,1;54;20;55;0
12;61,5;0;0;6;0;6,6;50;35,1;0;53;91;43,9;0;0;0;66
16;45,5;40,1;58,4;4;24;7,7;41;32,4;0;51;97,6;34,8;63;65,8;75;51
12;38,4;0;0;6;0;9,8;45;34,5;0;44;72,1;29,3;0;0;0;61
10;55,8;43,3;40,2;7;21;8,8;46;44,4;0;38;79;27,4;99,4;0;0;74
7;53,9;0;0;7;0;5,7;52;41,8;0;39;75,2;65,8;0;0;0;0
6;34,9;25,5;0;0;4;5,9;21;24,3;20,9;35;73,4;36,6;40;0;0;0
6;21,8;0;0;0;0;5,2;26;20;29,3;0;54,2;36,6;0;0;68;0
4;15,9;24,3;22,8;23;20;5,1;37;34,8;49,9;25;39,8;14,6;75,3;0;0;0
5;30,2;0;0;18;0;8,7;40;31,9;0;66;63,6;14,6;0;0;25;0
4;45,9;42,5;28,2;62;17;11,2;55;38,2;0;58;66,2;86;56;0;0;0
4;50,1;0;0;83;0;8,2;48;44,7;0;50;92,6;84,2;0;0;45;0
4;25,3;45,2;0;59;19;9,8;50;46,6;0;47;98,9;51,2;73,4;66,9;0;0
5;30,9;0;0;0;0;6,6;40;36,1;0;67;74,8;47,6;0;0;0;0
5;27;35,4;0;0;11;10,1;33;32,6;0;0;71,7;12,8;69;68;23;0
6;48,8;0;0;31;0;15,2;24;10,1;0;50;71,4;18,3;0;0;52;27
6;56,7;31,8;31,5;37;34;19,6;47;40,2;47,4;50;75,6;51,2;37,8;78,1;53;20
4;34,4;0;0;20;0;9,9;43;46,6;34,9;35;55,6;23,8;0;0;25;27
3;37,3;34,7;40;22;22;13,9;39;31,6;26;52;76,3;42,1;30,5;47,3;44;35
3;21,5;0;0;20;0;11,5;42;34,2;0;41;75,6;23,8;0;0;0;0
4;9,1;17,5;0;0;11;7,5;17;22,1;0;18;47,2;40,2;54,8;40,5;25;0
3;15,8;0;0;0;0;6,2;21;17,9;0;0;41,2;14,6;0;0;0;0
3;19,4;32;22,8;7;12;6;19;21,9;0;24;46,9;43,9;42;43;27;0
2;0;0;0;20;0;9,9;20;19,4;0;35;43,4;29,3;0;0;30;0
0;0;51;0;25;0;5,4;24;22,7;0;0;47,4;29,3;33,5;38,4;0;0
0;0;0;0;16;0;4,7;32;26,4;0;37;62;56,7;0;0;31;0
0;0;32,3;0;29;16;7,4;39;32,5;0;0;58,9;14,6;47;32,9;0;0
0;0;0;0;0;0;13,1;53;36,7;0;39;68,9;25,6;0;0;64;0
0;0;20,7;0;0;20;7,8;85;31,9;0;0;59,8;32,9;51,5;42,2;0;0
0;0;0;0;43;0;4,1;14;35,5;43,7;58;61,1;20,1;0;0;40;0
0;0;39,1;51,4;39;18;5;47;33,6;41,1;38;72,6;12,8;49,2;105;48;0
0;39,5;0;0;69;0;7,5;63;35,5;47,4;40;86,1;84,1;0;0;19;51
0;68,8;48,2;32,5;37;20;6,4;42;34,3;0;42;78,4;20,1;0;39,9;0;36
0;43,4;0;0;38;0;16,7;29;37,5;0;43;112,5;51,2;0;0;0;0
0;33,9;31,4;0;0;17;10,4;53;38,6;0;34;77,4;29,3;44;71,8;50;0
0;38,4;0;0;0;0;3,7;43;31,3;0;0;62,5;23,8;0;0;0;0
0;28,2;42;22,9;62;14;4,5;36;34,2;0;42;62,3;87,8;46,3;65,5;0;17
