DsCzer02;DsDzia01;DsGlogNorw;DsGlogNorwArch;DsJelw05;DsJgGrottgeraPM;DsLegRzeczA;DsLegRzeczPM;DsLegSmok;DsLegZlotor;DsLubinMaj;DsNRudaSrebPArch;DsPolkKasz;DsSwidRynek;DsSwidRynekArch;DsSzczKopPM;DsWalbWysPArch;DsWrocKorzPMArch;DsWrocOrzech;DsWrocWie;DsWrocWisA;DsZgorzBohA;DsZgorzMar;KpBydgUjejskiego;KpBydgWPola;KpCiechoTezniowa;KpGrudzIkara;KpInowrSolan;KpNakloPiotraSkargi;KpSadlog;KpTorunDziewulsk;KpTorunLotnisko;KpTorunSzpMiejski;KpWloclLady;KpWloclOkrzei;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbBialaPPl.TrzechKrzyzy;LbChelmJagWIOS;LbChelmSzpWSSE;LbKrasnikKoszarowa;LbLeczna1000Lecia;LbLublinPiel;LbLublin_Sliwins_5;LbLublinSpokojna;LbLukowBrowarna;LbPulawySkowieszynska;LbRadzyPSitkowskiego;LbRejowiecFabrWIOS;LbTomaszowLubWIOS;LbZamoscHrubieszowsk;LbZamoscWSSE;LdKutnoWIOSMWilcza;LdLodzWIOSACzernik;LdLodzWIOSARubinst;LdLodzWSSEMLegiono;LdLodzWSSEMRudzka;LdPabianWIOSAKonstan;LdRadomsWSSEMZeromsk;LdSieradWSSEMGrunwal;LdSkiernWSSEMReymont;LdZgierzWSSEMStRynek;LuGorzowWIOS_AUT;LuGorzowWSSE_1;LuZgoraWIOS_AUT;MpBochniWSSEKons0105;MpChrzanWSSEGrzy0301;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MpMaPodhWIOSKosc1508;MpMyslenWIOSRyne0906;MpNoTargWSSESzaf1102;MpNSaczWIOSPija6204;MpNSaczWSSETarn6202;MpOswiecWSSEWiez1301;MpProszWIOSKrol1404;MpSkawinWIOSOsie0606;MpTarnowWIOSSoli6303;MpTrzebiWIOSPils0303;MpWadowiWIOSPSka1805;MpWielicWIOSNiep1904;MzCiechStrazacka;MzLegionBronWSSE;MzLegionZegIMGW;MzNowDwChemWSSE;MzOstMazSikorWSSE;MzOstrolTargowa;MzOtwockBrzozWSSE;MzPiaseczDworWSSE;MzPiastowPulask;MzPlockKolegWSSE;MzPruszKraszeWSSE;MzRadomCz;MzRadomCzWSSE;MzTluszczJKiel;MzWarszAKrzywon;MzWarszBernWoda;MzWarszBielany;MzWarszBorKomWSSE;MzWarszKrucza;MzWarszSGGW;MzWarszZelazWSSE;MzWarZeganWSSE;OpBrzeg101;OpGlub1pyl;OpKlucz227;OpNamys2pyl;OpOlesno3pyl;OpPrud189p;OpStrzel247;PdBialyLegionowa8;PdLomzaSikorskiego;PdSuwPulaski;PkDebicaWSSEParkow;PkJasloWIOSFabr;PkJasloWIOSFlor2;PkKrosnoWSSEKisielewskiego;PkMielWIOSZarzStr;PkNiskoWIOSSzklar;PkPrzemWIOSPDom;PkPrzemyslWIOSMick;PkRzeszWIOSSzop;PkRzeszWSSEPilsud;PkRzeszWSSEWierzb;PkSanokWSSEJezier;PkTarnobWSSE1Maja;Pm.00.s481m;Pm.06.s712m;Pm11WLADw07m;Pm14TCZEw06m;Pm.15.s129m;Pm.63.s079m;Pm.63.wDSMm;SkKielJagiel;SkKielJagielWios;SkOstrowSams;SkOstrowWios;SkOzarowMiec;SkOzarowOsWz;SkPolanTrzc;SkStaracZlota;SlBielbBiel_kossa;SlCieszCies_dojaz;SlCzestCzes_baczy;SlDabroDabr_1000L;SlKatowKato_kossu;SlLubliLubl_piask;SlMiastMias_norwi;SlRacibRaci_boruc;SlRacibRaci_studz;SlRybniRybn_borki;SlWodziWodz_bogum;SlZabrzZabr_sklod;SlZawieZawi_pilsu;SlZawieZawi_zawie;SlZywieZywi_koper;WmDzialdWSSE_Biedraw;WmElblagWSSE_Krole;WmOlsztyWSSE_Zolnier;WmPuszcz_IOS_Borecka;WpGnieznoPM10;WpLeszno411000;WpOstrowWlkpPM10;WpPila5710111;WpPoznanPM10szpital;WpPoznanSzymanowskiego17;ZpGryfWiduchowa003;ZpKoszalinWSSE;ZpSwinoujscieWSSE;ZpSzcSzczecinekPSSE;ZpSzczecin002;ZpSzczecinWSSE
7;12;0;0;7;27;0;0;6,3;15,4;0;0;0;0;0;0;10;7;8;0;9,2;0;0;5;18;0;0;0;26;10,046;4;0;0;0;0;0;0;26;48;37,1;27,1;0;0;0;21;0;0;0;22;0;12,2;24,2;25,4;0;8;15;15;9;13;5;0;14;10;12,667;13,5;32;8;44;26,083;17,792;0;0;0;21,762;0;14;0;0;0;28,25;0;21;11;0;12;0;0;12,4;0;12;0;0;0;17;17;0;0;15;20,883;0;12,8;0;18;13;0;18;0;21;18;0;0;15;22,667;12,333;0;0;0;0;0;0;0;0;24,083;0;0;0;0;13;0;8;8;19;15;0;19;19;0;25;23;15;16;18;5;0;0;20;14;0;0;0;0;0;0;34;0;13;0;12,5;0;17,5;7,39;21;83;0;20,63;18;11;12,9;0;0;0;18;0
9;14;0;0;12,596;19;0;0;11,4;35,1;15;0;0;0;0;0;14;12;13;16,3;29,2;0;0;4;17;14,9;6;0;28;8,063;5;0;0;0;40,8;22,5;6,5;35;47;32,1;31,1;28,8;0;0;17,8;0;0;0;0;0;11,1;27,5;26,2;33;12;17,542;22;15;17;11;17;21;14;14,5;13,7;35;39;40;66,25;25,542;0;0;82;101,478;122;29;0;0;0;44,375;0;39;9;0;11;18;14;21,5;0;17;0;20;0;23;23;0;0;7;19,317;0;18,3;0;12;21;24;42;127;21;32;8;24;15;22,167;7,833;0;0;0;0;0;0;24;0;44;0;0;0;0;8;9;7;12;17;13;12;19;19;26;25;31;23;37;19;31;0;0;30;20;0;0;0;0;0;0;41;0;17;73;13,9;8,8;6,7;4,94;31;19;11;15,9;21;14;13,5;5;0;0;21,8;15
11;10;14;14;8,579;0;0;0;8,2;39,4;15;50;0;36;36;0;11;0;7;15,3;18,8;0;13;8;20;0;4;0;45;8,375;2;0;0;11;0;0;4,4;40;47;27,1;27;23,9;0;23,9;18,8;23,9;25;18,3;27;17,9;20,1;31,3;39,2;0;13;16,792;24;17;16;13;16;19;13;14;15,5;24;25;20;46,583;34,583;0;0;35;35,25;33;26;0;0;0;44,125;0;38;27;0;12;15;13;21,5;0;19;0;32;0;22;22;0;0;7;20,392;0;51,2;24;23;0;24;36;94;18;32;17;23;16;21,739;7,625;0;0;0;0;0;0;43;0;39,583;0;0;41;0;11;12;6;19;24;15;13;18;18;23;26;24;19;20;18;29;0;16;28;32;0;41;13;0;0;0;18;18;30;40;14,6;14;14,7;9,06;36;19;15;13,5;25;16;8,6;10;0;21;25,5;18
0;13;13;13;11,125;21;0;0;14,2;18,4;9;39;0;29;29;0;8;11;11;27,4;22,4;0;14;6;16;0;6;0;32;20,342;4;0;0;14;31,9;32,6;10,5;35;41;34,2;23,4;0;0;19,8;17;21,5;40;15,5;26;15,4;18;23,3;25,1;30;11;19,263;23;15;28;9;16;23;17;12,667;13;26;16;26;62,583;24,583;0;0;39;39,667;50;0;52;0;0;32,167;0;45;24;18;7;10;21;24,8;0;22;0;25;0;19;19;5;0;9;31,942;21;16,5;20,4;22;19;20;26;66;29;40;45;21;19;28,042;15;19;0;0;0;0;0;35;0;30,083;0;26;39;45;13;13;8;28;18;18;12;22;22;24;31;25;25;19;28;11;0;15;20;14;0;0;0;0;0;19;30;0;34;15;27,9;17,8;16,7;12,98;25;8;16;19,7;18;12;9,1;8;0;18;16,1;14
15;11;10;10;0;24;0;0;10;18,5;10;36;0;22;22;0;8;6;6;13,4;14,1;0;10;10;17;0;7;0;37;8,325;2;0;9;14;0;0;5,8;38;32;54,2;26;0;35,3;15,3;13,6;15,6;20;15,8;21;37,5;9,9;21,2;17;41;10;13,542;19;13;13;8;9;17;12;11,25;14;31;14;31;32,875;18,708;37;28;20;17;52;22;33;0;0;28,417;17;22;21;9;5;7;14;12,6;0;15;0;20;0;15;15;11;16;5;21,8;21;20,1;7,5;16;18;19;26;115;9;24;25;16;23;16,458;8,25;22;0;0;17;0;0;27;0;22,25;0;18;16;51;11;7;7;16;21;15;21;8;8;33;24;19;13;18;10;11;9;6;25;20;0;0;0;0;0;68;18;0;22;25;8,4;21,3;12,5;5,62;30;27;13;10,12;21;13;10,6;11;0;19;27,5;18
16;0;10;10;0;15;20,2;0;10;15,3;6;39;11,5;30;30;0;11;11;12;11,2;23,8;0;11;18;36;0;22;0;17;9,887;13;0;29;12;41,6;0;0;45;48;20,8;30,6;0;23,8;17;16,2;15,1;33;16,5;31;25,8;11,9;25;21,6;37;14;17,667;24;16;20;10;15;38;20;21,917;17,3;26;11;35;41,792;23,292;37;24;26;14,364;32;18;37;0;0;34,083;12;27;36;22;11;17;29;30,4;0;26;0;29;0;19;19;15;12;9;35,142;29;22;1,9;25;29;0;21;100;25;34;0;0;14;36,167;9,917;16;0;0;0;0;0;0;0;28,083;0;18;65;19;21;15;3;29;21;21;32;21;21;0;29;21;21;21;14;7;3;15;36;20;0;0;0;0;0;21;39;0;30;11;40,7;28,2;12,9;10;41;33;14;25,6;30;19;16,1;18;0;34;34,2;30
19;23;13;13;0;17;22;0;10;9,2;0;30;15,7;26;26;0;6;8;7;15;17,9;0;12;12;28;0;15;0;26;10,45;7;0;22;20;0;0;0;38;36;25,8;22,3;0;24,8;18,9;16,3;16,5;35;26,1;25;47,5;9,1;19,6;14,8;51;14;15,833;23;17;24;10;14;24;17;17,375;26,7;36;20;69;30,417;28,583;19;17;20;18,273;36;38;29;0;0;26,917;12;19;34;21;7;11;19;19,5;0;17;0;31;0;18;18;15;18;7;27,612;21;40,3;13,1;20;21;0;21;141;16;27;0;0;23;30,417;17,292;20;0;0;0;0;0;22;0;18,292;0;19;0;12;18;12;8;31;25;24;24;20;20;0;24;28;16;16;18;5;3;11;20;14;0;0;0;0;0;56;23;0;0;28;31,7;22,8;2,5;12,77;31;21;17;18,15;26;20;9,5;12;0;25;26,5;15
6;17;14;14;10,475;13;32,7;0;11,5;12,3;22;53;24,3;35;35;0;8;18;11;26,5;32;0;18;15;24;0;12;0;39;14,465;6;0;15;18;27,5;40;11,6;33;54;40,4;44,8;0;32,9;18,6;19,8;28,2;40;25,4;33;17,9;35,5;27,9;44,6;46;16;32,583;31;19;50;14;21;42;26;20,375;22,2;25;21;22;128,542;122,652;11;24;91;55,591;74;38;66;0;0;67,917;15;43;34;27;12;16;20;25;0;24;0;30;0;25;25;11;12;15;39,208;37;23,8;24,2;29;29;29;29;59;36;45;32;22;20;29,458;19,917;13;0;0;0;0;0;0;0;21,625;0;12;0;10;18;17;9;37;18;15;16;34;34;27;43;16;29;18;27;11;23;31;44;39;10;27;7;0;0;48;64;35;17;19;36,8;19,5;14,5;18,83;31;17;20;23,97;27;25;9;7;0;26;0;18
6;2;10;10;5,342;30;11,3;0;13,8;27,8;12;37;10,8;27;27;0;8;10;10;11,2;26,2;0;12;17;17;0;7;0;30;12,975;9;0;19;17;0;0;11,6;39;52;24,6;30,4;0;33,8;20,5;19,7;23;45;9,7;31;25,8;19,1;30,4;27,4;36;11;20,917;23;13;22;9;13;24;19;17,292;12,9;17;9;48;79;45,75;57;22;23;23,542;38;15;58;0;0;35,625;10;24;20;13;12;8;21;21,7;0;18;0;0;0;21;21;7;11;9;37,333;24;22;0;21;18;22;25;55;20;46;59;22;26;30,583;22,375;24;0;0;0;0;0;57;0;28,125;0;20;8;7;13;10;8;31;13;15;14;21;21;34;30;19;27;18;27;4;6;20;24;13;6;0;0;4;0;19;40;0;34;11;22,1;8,9;9;13,83;22;17;17;22,53;20;13;7,8;8;0;16;16,8;12
0;17;10;10;7,788;25;19;0;22,9;24,6;24;33;14;29;29;0;10;14;0;6;32,1;0;14;7;13;0;4;0;19;14,912;13;1;22;11;41,3;27,5;12,4;35;37;23,3;30;0;25,6;22,5;21,3;22,8;35;13,2;26;36,7;19,2;30;28,2;31;10;20,5;23;13;23;13;17;22;12;12,958;14,4;23;40;12;121,917;82,625;113;52;58;49,917;60;29;96;0;0;52,917;15;44;11;15;9;9;17;7,3;0;17;0;0;0;22;22;4;8;7;20,254;26;18,3;19;19;18;18;24;26;23;31;19;0;26;19,833;13,304;21;0;0;0;0;0;27;0;30,083;0;24;13;16;11;9;7;21;15;13;11;33;33;33;39;23;24;18;34;9;8;24;27;16;5;9;5;9;0;44;31;28;184;16;30;18;15;8,5;21;13;15;17,06;21;12;8,9;9;0;14;0;13
4;2;9;9;4,775;19;10,5;7;11;37,2;14;26;8,2;25;25;0;7;10;10;5,8;21,2;0;11;14;10;0;6;0;11;9,296;23;4;12;10;0;0;22,2;26;25;41,7;19,4;0;20,1;14,5;14,1;6,9;20;10,4;18;10,4;13,8;25;23,6;27;7;12,208;15;9;8;3;10;15;10;10,667;18,2;38;9;24;54,042;42,083;20;16;11;7,435;20;10;45;0;0;19,083;8;30;13;7;5;4;11;7,2;0;10;0;0;9;12;12;5;9;9;16,125;17;40,3;20,8;13;12;17;16;41;16;24;25;13;20;13,167;6,957;22;0;0;0;0;0;34;0;23,292;0;26;38;21;6;7;8;8;13;11;11;11;11;31;13;14;10;13;13;9;8;9;11;9;1;0;0;7;36;13;11;0;20;5;9,9;8,9;7,5;4,56;20;13;8;13,84;15;11;10,5;8;0;15;15,1;11
12;0;15;15;9,529;0;17;17;8,3;27,7;17;27;14;26;26;0;10;11;9;14;20,5;0;13;10;15;15;4;0;17;11,65;40;5;9;8;27,6;0;37,1;18;23;30;19,5;0;24,4;14,2;13;18,6;13;12,7;14;16,7;8,1;14,2;15,1;31;11;17,667;17;13;10;8;17;17;10;14,083;15,8;32;18;24;32,75;19,708;23;18;17;16,263;19;17;31;0;0;28,042;17;21;13;8;5;10;1;9;0;14;0;0;11;14;14;4;11;4;20,421;27;64;11,4;15;15;0;24;21;16;31;0;0;12;13,542;8,625;16;0;0;0;0;0;20;0;17,542;0;23;14;20;13;6;8;0;14;18;23;17;17;34;15;23;17;17;12;15;6;9;18;20;11;0;0;10;20;51;20;0;24;20;6,4;10,7;0;5,23;27;19;14;17,31;21;14;8,6;12;0;18;22,2;16
2;16;12;12;8,492;17;10,6;8;8,3;30,6;0;29;9,1;17;17;0;7;10;8;12,9;16,7;0;8;14;18;0;7;0;24;16,074;0;9;14;12;0;0;0;23;36;21,3;15,6;0;22,7;16,3;14,1;18,6;17;15;14;15,4;9,3;17,5;19,1;37;12;16,833;19;14;13;10;18;21;15;15,375;16;34;20;21;25,042;16,792;18;18;18;10,083;24;16;30;0;0;22;12;19;22;14;7;13;16;9;0;19;0;0;10;17;17;7;8;5;24,725;27;14,6;3,8;19;17;15;22;22;16;29;0;31;10;19,333;11,5;14;0;0;0;0;0;0;0;19,875;0;9;16;17;16;14;0;0;19;18;31;20;20;0;20;14;15;21;13;15;3;6;14;11;9;20;4;17;13;56;9;15;20;23;8,9;16;6,1;15;31;13;13;17,76;25;18;10,5;15;0;22;26,1;17
7;12;10;10;10,6;0;12,8;12;8,3;18;18;24;8;23;23;0;8;9;7;18,6;14,7;0;11;8;12;12,9;6;0;17;11,267;0;7;17;18;27,8;0;0;26;11;20,8;18,6;0;27,8;16,8;15,2;14,2;10;23;15;8,3;12,4;16,7;19;36;8;13,083;15;9;8;6;14;15;9;14,333;14,2;28;17;83;36,917;25,417;29;21;23;16,565;22;16;34;0;0;28,583;15;23;8;5;5;8;12;8,9;0;11;0;0;23;12;12;11;15;5;25,941;22;11;20,6;14;15;0;18;14;18;22;0;0;15;17,565;12,583;14;0;0;0;0;0;12;0;22,458;0;14;0;10;12;9;0;0;14;16;28;13;13;0;17;16;14;11;14;15;2;0;18;14;6;0;0;5;14;58;16;0;28;33;6,4;5,3;4,1;8,48;25;16;10;14,9;19;14;9,4;12;0;14;15,6;15
10;0;17;17;18,192;24;27,3;15;28,1;34,1;51;140;24,8;33;33;0;11;17;31;16,8;41,1;0;22;13;27;0;10;0;48;12,396;16;5;13;11;0;0;6,5;31;39;22,1;32,8;0;61,5;25,4;15,6;27,6;21;48,9;21;14,6;14,2;26,2;26,2;66;20;22,917;35;26;37;20;31;33;27;21,917;32,4;32;80;109;76,75;43,708;79;48;0;93,667;112;121;67;0;0;57,292;86;57;21;17;5;16;19;15,8;0;23;0;0;34;27;27;0;18;5;23,296;28;12,8;16,6;29;30;53;52;52;42;55;0;52;11;20,217;14,5;14;0;0;0;0;0;0;0;39,375;0;18;0;15;16;14;0;0;18;19;30;54;54;39;26;28;28;46;17;43;7;0;40;25;24;26;4;17;30;0;46;49;0;43;17,3;10,5;11;9,16;44;10;26;24,03;41;34;4,6;13;10;22;22,8;18
0;0;23;23;21,417;36;68,6;65;0;66,1;37;191;28,4;49;49;0;17;36;46;42,4;57,4;0;22;16;31;23,9;6;0;46;14,3;17;9;20;21;50,4;22,9;8,7;58;30;20,8;22,2;0;62;41,4;34,7;38,7;42;14,8;46;63,8;21,3;52,1;47,7;72;23;36,5;38;28;42;25;39;49;34;30,333;22,3;29;83;64;152,583;127,125;148;75;0;141,125;146;116;158;0;0;88,042;124;105;36;26;18;22;34;22,9;0;34;0;0;26;31;31;0;19;16;36,358;33;60,4;0;37;37;46;49;56;72;73;40;42;20;33,435;16,375;35;0;0;0;19;30;24;0;39,333;0;32;8;10;19;19;0;0;21;20;35;70;70;36;66;31;35;58;35;63;4;32;67;46;27;0;0;24;26;69;65;0;0;70;30,1;15,7;23,9;16,75;44;17;38;37,6;40;32;5,3;17;12;21;31,2;22
0;30;24;24;14,221;27;38,9;31;14;37,9;20;74;26,7;36;36;0;0;0;35;22,9;45,1;0;0;15;26;0;24;0;49;22,558;40;6;20;22;0;0;12,7;50;29;38,8;49,9;35,1;38,4;36,6;35,6;38,3;64;39,9;46;32,1;30,9;49,6;46,6;51;19;35,792;34;24;51;19;35;42;32;23,125;25,3;36;53;17;168,708;133,083;145;32;0;126,75;89;83;65;0;0;86,75;71;124;30;36;24;35;36;18;0;36;0;0;12;35;35;0;7;22;49,979;36;51,2;20,5;40;32;40;41;48;46;63;66;38;36;40,708;20,75;34;0;0;0;61;43;35;0;49,542;0;27;15;17;14;17;0;27;19;17;25;51;51;32;78;25;35;29;56;25;5;56;66;31;15;7;5;18;41;35;65;45;0;20;40,3;14,2;14,7;21,94;37;13;28;29,55;35;27;17,1;12;12;23;26,6;21
7;15;11;11;9,989;33;10,3;0;48,2;30,9;25;0;10,3;0;0;14,2;0;0;11;12,8;22,3;0;15;18;8;13,3;13;0;15;0;12;7;23;24;36,9;36,4;5,9;31;27;69,6;40,7;8,5;9,5;13,5;21,2;14,6;38;8,2;28;16,7;23,2;39,2;37,3;21;6;12,391;12;8;14;5;14;18;9;11,792;15,4;33;9;15;49,208;34,792;11;8;0;34,083;34;13;32;0;0;21,083;9;24;7;0;12;26;14;9,2;0;13;0;0;13;11;11;0;25;13;35,865;19;14,6;21,1;14;12;20;23;8;14;31;24;10;38;17,917;14,952;0;0;0;0;61;38;44;0;33,182;0;0;13;17;11;15;0;19;16;7;17;11;11;41;23;7;26;12;16;18;3;15;9;11;2;0;0;11;19;12;18;0;0;10;17,2;5,5;23,4;3,39;12;8;13;13,95;14;9;16,1;7;7;14;12,3;10
6;10;0;0;0;29;10,1;11;3,7;19,7;0;115;8,4;16;16;11,1;0;6;4;17,1;14,8;0;10;6;11;0;13;0;14;0;14;7;3;5;0;0;4,4;12;12;61,3;17,8;15,5;20,3;7,4;10,2;8,3;9;3;5;11,7;7,8;11,3;11,2;0;9;11,25;15;10;4;4;10;9;9;15,25;9,7;30;15;23;22,833;15,417;14;0;0;16,042;16;16;18;0;0;19,042;12;16;3;0;5;26;8;7,2;0;10;0;0;11;12;12;7;7;9;14,761;15;11;19,1;32;11;0;14;16;5;15;0;0;13;10,087;6,727;29;0;0;0;59;43;25;0;18,609;33;26;10;0;10;9;8;9;15;12;15;11;11;11;10;11;10;8;7;13;8;4;13;9;6;0;0;0;11;26;7;0;0;19;8,1;3,5;8;2,69;24;15;11;7,98;16;9;18,2;7;9;14;15,3;15
8;15;12;12;0;20;14,5;14;3,7;19,7;5;33;11;23;23;17;11;10;9;11,4;20,4;0;12;4;17;14,9;6;0;30;0;0;8;4;7;27,6;0;0;14;25;46,7;6,1;11,9;20;10,7;12,3;16;15;8,4;12;21,7;7,8;16,3;9,2;23;9;15,417;17;12;20;4;12;21;16;14;29,1;28;16;21;42,375;17,667;26;0;0;18;32;20;20;0;0;27,583;9;23;14;0;7;25;17;7,2;0;16;0;0;13;13;13;5;6;7;18,883;46;36,6;15;25;13;0;21;20;19;35;0;0;4;25,174;12,458;7;0;0;80;0;0;0;0;13,625;11;7;7;4;16;24;10;25;20;0;20;16;16;0;20;16;14;13;43;13;2;15;16;11;9;0;0;2;16;19;25;0;0;68;20,3;15,9;1,6;4,67;24;6;11;13,07;17;10;9,3;7;8;18;17;11
5;10;6;6;0;24;9,2;9;3,7;31,1;9;20;6,8;13;13;11,5;8;5;6;14;12,4;0;10;2;12;0;7;0;20;0;0;12;5;8;0;0;0;10;28;16,3;15;17,5;30,9;7,4;11,6;12,1;10;6,2;10;20;5,5;12,9;8;19;7;9,375;14;8;11;4;10;15;7;10,958;0;26;13;71;20,75;10,25;14;0;0;19,625;20;12;12;0;0;17,875;8;13;12;0;7;27;15;5,4;0;15;0;0;21;10;10;5;9;7;10,787;14;9,2;15,1;22;11;16;4;8;7;22;73;12;11;16,083;9,75;11;0;0;0;0;0;9;0;11,958;6;6;0;9;6;9;8;15;15;0;17;15;15;0;12;15;14;6;9;11;2;6;11;11;7;15;4;3;9;31;9;18;0;23;10,1;3,6;4,3;5,36;19;13;6;11,28;15;8;13,8;7;7;12;14,4;9
9;19;9;9;0;29;15,2;13;28;39,5;14;51;12,3;31;31;20,6;15;12;20;18,1;30,4;0;14;3;11;11,1;5;0;22;0;34;3;5;3;28;40,1;6,9;19;35;18,8;16,1;23;54;20,1;16,7;16,7;21;21,3;21;20,4;10,1;23,3;18,5;31;10;19,167;20;13;16;6;17;19;16;10,708;11,5;22;34;19;75,083;57,25;29;0;0;36,042;75;29;78;0;0;54,667;11;43;5;0;9;26;19;5,3;0;25;0;0;29;22;22;7;11;26;16,542;16;11;28,1;22;15;35;28;23;24;41;55;27;10;21;10,083;6;0;0;0;0;0;0;0;16,083;5;4;0;3;14;10;8;25;19;0;5;26;26;33;27;18;19;24;33;9;5;9;29;20;20;0;0;8;18;36;36;0;0;17;15,1;3,5;4,9;3,58;27;8;14;17,84;21;12;19,2;10;7;14;28,3;10
12;26;19;19;0;36;18,4;7;26,9;14;40;31;24,6;42;42;18,2;19;10;8;28,4;29,4;0;22;24;26;0;35;0;0;0;34;3;4;6;0;0;8;30;40;22,1;35,9;10,5;13,8;15,2;19,4;16,5;33;11,9;24;19,2;17,3;20,4;23,8;50;12;17,304;26;21;25;20;24;30;24;30,417;26,4;25;30;50;55,417;60,542;45;0;0;40,333;21;24;35;0;0;25,25;27;34;24;0;13;56;18;5,2;0;27;0;0;15;20;20;9;9;18;24,65;16;9,2;0;23;17;30;27;22;29;39;52;19;15;34,524;7,5;17;0;0;0;42;39;40;0;22,5;18;11;4;18;38;82;7;23;43;62;23;22;22;25;17;9;11;9;79;34;22;11;17;26;27;10;14;37;37;58;24;17;17;24;41,6;18,8;5,6;4,98;36;23;27;40,48;30;26;17;53;24;51;24,8;39
23;36;26;26;0;37;79,6;25;8,9;28,1;86;36;38,2;36;36;23,9;20;13;0;24,1;37,5;0;23;7;57;13;22;0;0;0;7;5;36;26;27,1;21,8;5,8;13;27;32,9;17,6;28;0;9,5;9,2;12,4;18;9,1;10;12,5;17,7;15,4;16,8;12;9;13,292;20;15;16;37;33;35;22;30,25;16,8;29;36;73;37,833;25,792;55;0;0;36;50;44;28;0;0;33,75;33;28;17;0;7;27;13;38,5;0;24;0;0;22;19;19;5;23;16;27,279;17;40,3;11;20;11;28;42;22;41;47;70;45;15;13,125;6,208;16;0;0;0;38;31;31;0;28,458;14;13;24;17;9;18;6;23;54;16;17;25;25;12;13;9;15;24;28;50;11;16;34;30;40;0;0;14;41;82;25;0;34;66;25;8,5;22,6;7,98;17;17;28;20,56;21;15;45,6;13;12;13;20,8;16
11;10;24;24;0;23;33,5;10;19,3;39,1;74;81;16,4;36;36;21,3;15;11;9;22,5;27,9;0;32;11;27;0;16;0;0;0;14;8;26;21;0;0;6,5;36;48;37,5;8,9;28,4;0;31;20,1;0;37;17,8;28;28,3;26,5;25,8;29,7;77;22;31,5;45;37;42;38;37;105;50;21,042;23,3;31;50;43;48,917;44,083;46;0;0;40,375;41;75;35;0;0;60,875;43;45;45;42;9;58;24;28,1;0;33;0;0;60;33;33;7;14;13;32,617;24;27,5;10,8;37;35;56;39;66;38;60;63;68;15;19,083;14,708;28;0;0;30;37;34;51;0;41,792;25;25;2;8;13;13;8;29;38;25;25;39;39;26;23;25;38;28;19;40;17;25;29;42;70;10;5;8;47;104;24;49;50;77;45,6;35,6;16,6;8,84;39;33;58;10,82;34;25;12,1;15;6;29;19,9;20
13;26;23;23;0;25;47,4;40;4,6;78,2;0;114;28,3;59;59;32,4;21;23;23;0;37,1;0;28;6;24;20,4;22;0;0;0;39;5;11;26;31,3;0;2,6;34;0;71,3;21,8;0;0;31,2;27,6;0;45;28,5;40;32,5;19,7;39,2;29,6;61;15;26,375;30;19;33;24;31;76;38;27,042;25,9;30;0;36;126,917;98,417;111;0;0;76,375;78;37;116;0;0;91,667;81;112;36;59;22;39;30;18;0;28;0;25;24;26;26;16;11;27;46,167;17;16,5;62,6;27;23;0;55;42;58;59;36;43;19;32,957;24,542;26;0;0;0;34;34;33;0;59,542;26;23;14;22;19;14;22;22;32;16;10;41;41;23;32;0;0;38;29;49;12;28;46;43;27;0;0;34;70;51;64;0;23;57;25,8;13,8;27,9;15,15;33;25;30;62,8;33;31;16,3;20;6;16;28,3;16
9;12;17;17;0;0;25,6;6;4,6;19,5;32;32;12,6;27;27;17,1;10;8;7;0;21,9;0;16;7;26;0;8;0;0;0;0;8;22;19;0;0;0;32;28;63,8;38,1;0;0;18,6;18,7;0;21;25,7;24;23,8;15,2;23,3;29,9;48;9;12,5;19;12;13;16;18;16;14;9,083;8,9;33;0;20;35,75;25,5;29;0;0;21,083;26;26;24;0;0;35,083;23;32;21;61;7;28;11;18;0;17;0;24;16;20;20;7;6;20;15,746;89;16,5;31,1;24;15;0;33;36;10;25;0;0;28;18,167;12,542;22;0;0;0;0;0;0;0;33,75;45;39;3;36;15;9;10;9;16;12;4;19;19;0;13;0;0;21;16;21;8;12;28;21;29;0;0;4;29;41;17;0;25;36;18,5;5,1;5,1;1,98;37;8;20;12,8;23;12;4,7;6;4;24;17,8;9
7;10;12;12;0;0;14,9;11;4,6;16,7;4;42;8,9;19;19;15,4;10;7;6;0;12,5;0;10;2;17;11,2;10;0;0;0;0;10;6;10;41,4;0;0;20;46;74,2;11,7;0;0;13,1;11,8;0;20;10,4;17;21,3;9,9;22,5;16,7;10;6;13,917;20;9;17;8;8;2;18;0;0;40;0;42;23;16;20;0;0;13,917;21;14;16;0;0;24,667;11;22;19;36;7;26;18;20;0;24;0;12;8;13;13;7;14;9;18,254;19;53,1;29,3;26;12;0;24;20;12;23;0;0;11;24,542;11,208;16;0;0;0;0;0;26;0;17,75;17;18;0;0;12;9;12;12;28;15;2;14;14;0;10;0;0;11;12;12;8;13;24;17;18;13;7;13;19;26;18;14;30;12;17,8;8,7;7,7;9,13;27;6;8;14,83;20;7;0;2;8;12;25,3;10
