DsCzer02;DsDzia01;DsGlogNorw;DsGlogNorwArch;DsJelw05;DsJgGrottgeraPM;DsLegRzeczA;DsLegRzeczPM;DsLegSmok;DsLegZlotor;DsLubinMaj;DsNRudaSrebPArch;DsPolkKasz;DsSwidRynek;DsSwidRynekArch;DsSzczKopPM;DsWalbWysPArch;DsWrocKorzPMArch;DsWrocOrzech;DsWrocWie;DsWrocWisA;DsZgorzBohA;DsZgorzMar;KpBydgUjejskiego;KpBydgWPola;KpCiechoTezniowa;KpGrudzIkara;KpInowrSolan;KpNakloPiotraSkargi;KpSadlog;KpTorunDziewulsk;KpTorunLotnisko;KpTorunSzpMiejski;KpWloclLady;KpWloclOkrzei;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbBialaPPl.TrzechKrzyzy;LbChelmJagWIOS;LbChelmSzpWSSE;LbKrasnikKoszarowa;LbLeczna1000Lecia;LbLublinPiel;LbLublin_Sliwins_5;LbLublinSpokojna;LbLukowBrowarna;LbPulawySkowieszynska;LbRadzyPSitkowskiego;LbRejowiecFabrWIOS;LbTomaszowLubWIOS;LbZamoscHrubieszowsk;LbZamoscWSSE;LdKutnoWIOSMWilcza;LdLodzWIOSACzernik;LdLodzWIOSARubinst;LdLodzWSSEMLegiono;LdLodzWSSEMRudzka;LdPabianWIOSAKonstan;LdRadomsWSSEMZeromsk;LdSieradWSSEMGrunwal;LdSkiernWSSEMReymont;LdZgierzWSSEMStRynek;LuGorzowWIOS_AUT;LuGorzowWSSE_1;LuZgoraWIOS_AUT;MpBochniWSSEKons0105;MpChrzanWSSEGrzy0301;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MpMaPodhWIOSKosc1508;MpMyslenWIOSRyne0906;MpNoTargWSSESzaf1102;MpNSaczWIOSPija6204;MpNSaczWSSETarn6202;MpOswiecWSSEWiez1301;MpProszWIOSKrol1404;MpSkawinWIOSOsie0606;MpTarnowWIOSSoli6303;MpTrzebiWIOSPils0303;MpWadowiWIOSPSka1805;MpWielicWIOSNiep1904;MzCiechStrazacka;MzLegionBronWSSE;MzLegionZegIMGW;MzNowDwChemWSSE;MzOstMazSikorWSSE;MzOstrolTargowa;MzOtwockBrzozWSSE;MzPiaseczDworWSSE;MzPiastowPulask;MzPlockKolegWSSE;MzPruszKraszeWSSE;MzRadomCz;MzRadomCzWSSE;MzTluszczJKiel;MzWarszAKrzywon;MzWarszBernWoda;MzWarszBielany;MzWarszBorKomWSSE;MzWarszKrucza;MzWarszSGGW;MzWarszZelazWSSE;MzWarZeganWSSE;OpBrzeg101;OpGlub1pyl;OpKlucz227;OpNamys2pyl;OpOlesno3pyl;OpPrud189p;OpStrzel247;PdBialyLegionowa8;PdLomzaSikorskiego;PdSuwPulaski;PkDebicaWSSEParkow;PkJasloWIOSFabr;PkJasloWIOSFlor2;PkKrosnoWSSEKisielewskiego;PkMielWIOSZarzStr;PkNiskoWIOSSzklar;PkPrzemWIOSPDom;PkPrzemyslWIOSMick;PkRzeszWIOSSzop;PkRzeszWSSEPilsud;PkRzeszWSSEWierzb;PkSanokWSSEJezier;PkTarnobWSSE1Maja;Pm.00.s481m;Pm.06.s712m;Pm11WLADw07m;Pm14TCZEw06m;Pm.15.s129m;Pm.63.s079m;Pm.63.wDSMm;SkKielJagiel;SkKielJagielWios;SkOstrowSams;SkOstrowWios;SkOzarowMiec;SkOzarowOsWz;SkPolanTrzc;SkStaracZlota;SlBielbBiel_kossa;SlCieszCies_dojaz;SlCzestCzes_baczy;SlDabroDabr_1000L;SlKatowKato_kossu;SlLubliLubl_piask;SlMiastMias_norwi;SlRacibRaci_boruc;SlRacibRaci_studz;SlRybniRybn_borki;SlWodziWodz_bogum;SlZabrzZabr_sklod;SlZawieZawi_pilsu;SlZawieZawi_zawie;SlZywieZywi_koper;WmDzialdWSSE_Biedraw;WmElblagWSSE_Krole;WmOlsztyWSSE_Zolnier;WmPuszcz_IOS_Borecka;WpGnieznoPM10;WpLeszno411000;WpOstrowWlkpPM10;WpPila5710111;WpPoznanPM10szpital;WpPoznanSzymanowskiego17;ZpGryfWiduchowa003;ZpKoszalinWSSE;ZpSwinoujscieWSSE;ZpSzcSzczecinekPSSE;ZpSzczecin002;ZpSzczecinWSSE
13;25;0;0;16,633;0;22,1;0;42,3;27,2;19;30;21,5;29;29;13,7;14;0;0;36,5;30;0;15;0;0;0;0;0;0;13,167;13;0;0;11;0;0;0;17;17;13,8;0;17;26,7;25,1;16,6;29,4;26;27,1;20;15,8;18,2;22,9;22,2;44;14;14,667;27;14;19;31;24;22;23;35,75;17;18;0;23;59,333;27;24;28;0;25,542;25;26;37;0;0;33,042;28;32;22;12;16;10;9;13;0;19;12;19;19;16;16;18;10;22;0;52;23,8;9,9;17;15;25;28;0;29;22;35;23;15;7,455;0;31;0;0;0;0;0;0;0;24,542;37;28;22;8;18;15;15;10;16;16;27;11;11;0;19;0;0;19;20;37;5;20;24;28;9;4;27;24;26;38;20;10;70;14;12,3;9,2;4,6;11,56;13;29;0;21,83;22;22;17,4;17;0;14;12,4;0
17;26;25;25;29,233;15;29,8;23;21,4;26,6;28;25;32,6;0;0;19,4;0;0;0;49,7;38,1;31;22;14;19;16,7;12;14;6;19,804;15;0;0;19;27,8;0;0;20;40;27,9;0;16,2;0;13,9;13,6;18,5;35;13,5;20;12,9;13,8;13,7;15,9;35;12;17,292;15;12;17;26;19;19;14;33,875;12,2;18;0;19;67,792;19,208;29;0;25;28,125;21;21;38;0;0;20,083;27;23;18;3;15;7;9;11,2;0;20;13;16;21;20;20;18;9;20;0;0;20,1;8;17;13;24;32;0;29;32;32;19;12;18,909;0;30;0;35;0;0;0;0;0;27,375;34;31;20;12;15;14;10;10;12;12;27;24;24;0;30;21;17;23;23;39;11;73;34;32;8;7;0;11;33;21;41;0;29;18;10,3;14,6;16,3;11,85;20;19;0;21,78;17;17;18,2;13;0;0;24,2;0
19;21;21;21;28,438;18;26,8;20;21,4;18,2;0;58;22;32;32;19,2;16;0;0;48,4;24,4;29;17;8;21;0;5;15;13;13,783;0;0;0;11;0;0;0;17;14;51,7;0;12,3;27,2;10,1;14,8;15,2;19;9,7;17;10,4;10,1;13,7;14,3;0;9;14,783;10;8;15;17;16;18;11;14,667;8,2;14;0;15;57,875;24,583;34;0;14;17,417;11;18;22;0;0;28,5;28;24;18;13;16;9;13;11,1;0;13;11;22;11;9;9;9;6;16;0;0;27,4;5,9;12;7;0;12;0;35;41;0;0;15;15,773;0;0;0;34;0;19,9;32,8;0;0;24,75;0;0;8;0;15;18;17;0;16;17;33;13;13;0;18;16;20;17;22;23;7;17;28;26;23;0;0;4;32;10;32;0;41;11;16,3;18,2;16;17;19;19;0;14,78;13;15;16,6;14;0;14;26,2;0
11;12;25;25;17,154;16;28;24;21,4;16,4;20;16;23,5;8;8;6,1;5;0;0;27,4;44,6;19;14;11;22;22,3;15;9;13;17,821;0;0;0;15;34,7;0;0;22;20;25,8;0;27,8;0;17,8;12;23;23;12,4;14;8,8;11,1;14,6;14,3;0;8;11,667;10;8;12;16;16;21;13;23,5;15,3;14;0;15;39,25;10,292;15;0;11;12,261;8;16;15;0;0;11,833;18;12;21;14;16;10;10;14,7;0;19;13;18;3;11;11;7;10;13;0;0;0;7,8;18;12;0;22;0;29;37;0;0;19;18,739;0;16;0;18;0;29;23,7;0;0;12,625;15;9;0;6;18;19;12;0;19;19;34;13;13;0;13;17;16;15;14;11;9;15;20;18;11;0;31;6;20;11;31;4;29;7;16,4;11;3,6;18,36;18;19;0;20,02;20;24;18,9;16;0;16;25,6;0
14;21;29;29;26,892;18;24;16;22,7;21,8;20;22;30,3;9;9;15,7;10;0;0;23,3;20,4;30;19;15;27;0;9;9;19;19,713;48;0;0;14;0;28,6;0;24;12;23,8;0;20,7;0;23,7;19,7;27;32;15,9;21;25,8;21,4;22,5;16,3;0;14;19,542;17;11;24;25;22;27;25;39,583;14,8;0;0;23;65,542;20,125;21;0;19;22,905;17;24;36;0;0;26,167;21;27;29;18;20;17;18;22,5;0;22;22;15;9;14;14;0;11;26;0;0;0;47,9;19;16;25;42;0;15;22;30;19;15;23,833;0;4;0;0;18;9,1;14,6;0;0;30;8;5;0;3;39;23;17;0;23;17;34;27;27;0;29;16;24;26;26;32;5;17;30;28;9;6;47;14;32;13;41;14;34;11;19,7;13,4;11,1;21,05;21;17;0;17,59;20;26;25,7;16;0;14;29,9;0
19;24;29;29;29,333;7;32,5;26;66,9;25,4;11;37;26,7;35;35;23,2;19;0;0;10,5;0;27;24;18;31;25,8;15;10;23;20,317;31;0;0;18;54,4;43,2;0;27;13;24,6;0;29,1;14,4;23,7;16,7;27,3;25;13,5;21;20,8;18,5;20,4;15,4;0;17;22,833;22;14;27;25;25;31;34;37,25;26,2;0;21;23;80,208;28,375;28;0;23;29,417;23;27;38;0;0;41,75;32;28;32;14;15;20;19;22,8;0;28;24;18;21;15;15;0;13;18;27,529;0;0;0;25;18;27;41;0;24;30;48;24;25;25,957;0;18;0;26;0;21,7;36,3;0;0;30,833;17;0;19;18;34;20;20;0;23;23;46;29;29;0;16;6;16;9;16;43;21;34;41;39;10;7;47;18;41;86;54;13;0;20;22,5;13,1;30,6;18,57;23;19;25;21,9;27;35;27,7;24;0;16;35,5;0
46;23;27;27;40,387;16;32,7;26;61,3;29,1;28;38;28,1;42;42;73,5;25;0;0;30,6;39;40;0;18;32;0;11;10;14;25,929;20;0;0;27;0;0;0;15;23;26,7;0;18,7;16;23;29,3;31,2;39;18,2;29;0;21,8;27,5;21,7;0;18;25,917;19;15;25;32;26;29;26;41,292;20,2;14;31;34;72,417;33,75;11;0;30;35,182;26;28;20;0;0;36,542;10;26;19;19;31;24;18;20,9;0;36;26;23;18;15;15;0;14;26;37,959;0;0;30,3;27;18;29;31;0;37;36;37;27;23;34,478;0;16;0;27;0;18,1;27,3;0;0;33,958;15;17;10;11;26;21;16;0;20;23;38;25;25;0;25;20;20;9;22;34;9;27;46;41;17;5;0;21;43;23;51;0;26;15;20,8;18,8;27,6;19,07;25;17;34;30,61;26;36;26,6;27;13;21;34,1;0
0;28;31;31;34,658;6;35,5;29;61,3;32,7;18;29;36,5;21;21;33,6;17;0;0;27,9;30,7;33;29;19;30;33,3;8;14;16;22,235;0;0;0;23;44,6;0;0;28;21;40,4;0;24,8;12,4;22,9;25,1;34,4;29;14;23;0;15,6;23,3;18,1;0;15;19,273;19;13;20;24;24;27;26;39,75;18,6;10;27;23;58,125;28,333;19;0;20;25,182;22;22;28;0;0;32,333;25;31;27;21;24;17;18;11,8;0;34;16;14;22;17;17;25;13;24;26,324;0;0;14,2;23;28;0;29;0;39;36;0;0;30;26,826;0;20;0;0;0;0;0;0;0;32,458;22;18;9;23;24;19;16;33;20;25;36;20;20;0;16;22;15;8;18;23;12;34;44;40;36;6;0;18;32;11;40;0;17;12;15,6;15,1;28,1;19,62;22;19;26;27,64;21;25;27,2;18;10;16;35,8;0
22;26;23;23;33,996;21;36,7;29;30,7;47,3;0;33;29,3;30;30;29,6;25;0;0;40,6;34,4;36;23;18;33;0;5;7;13;26,912;41;0;0;21;0;0;0;30;15;43,3;0;34,4;20,2;30,9;28,2;50,2;39;24,9;28;0;17,9;31,3;26,7;0;21;23,917;28;20;30;33;36;37;36;39,667;19,7;28;35;36;70;36,625;25;31;29;41,087;28;37;38;0;0;32,375;29;41;25;28;26;32;28;22,8;0;59;31;15;27;31;31;35;33;40;0;26;0;18,3;34;25;0;33;0;0;36;0;0;20;36,083;0;19;0;27;0;0;0;0;0;35,708;21;16;0;22;24;22;19;0;21;22;33;39;39;0;22;36;19;5;27;36;11;0;48;44;1;6;33;25;34;17;57;83;46;14;19,5;20,7;29,6;20,63;28;17;38;27,33;25;27;23,9;18;8;20;35,9;14
22;34;23;23;31,021;14;31,5;27;30,7;38;15;0;26,4;17;17;24,8;19;0;0;26,3;33,8;30;27;10;27;25,9;2;6;16;24,083;0;0;0;29;49,6;0;0;25;19;43,8;22;17,9;22;24;38;22,6;38;19,8;34;21,3;23;30,8;20,3;0;20;31,591;20;16;23;23;33;28;24;40,75;18,2;38;31;22;68,083;36,917;19;32;19;35,609;25;24;38;0;0;37,875;24;29;13;20;16;13;28;30,6;0;32;29;23;10;21;21;22;21;29;31,342;34;0;18,2;22;16;30;25;0;0;36;21;23;31;35,053;25,75;23;0;34;14;28,5;0;0;0;43,208;38;26;12;16;20;18;12;23;15;13;25;24;24;0;22;28;30;10;20;44;6;53;53;44;11;0;0;22;46;17;42;0;27;32;16,1;13,1;3,2;18,92;25;17;30;32,12;21;25;27,5;14;7;20;36;17
