DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;MpTarnowWIOSSoli6303;MzPlockReja;MzRadomTochter;MzWarszUrsynow;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor;WmPuszcz_IOS_Borecka
16,5;13,4;13;14,625;12;0;10,9;9;9;9;15;21,02;26;9,84
24,9;22,7;18;13,458;10,542;0;23,7;28;27;6;15;18,43;19;9,97
29,3;16,5;19;18,75;15,958;25;14;26;20;8;17;21,85;16;9,01
37,7;25,5;22;22,125;16,042;20;23,8;22;26;24;14;15,93;21;12,88
25;24,9;25;42,458;40,708;45;30,8;35;30;13;24;26,67;34;13,97
24,2;26,3;15;31,833;30,25;42;32,5;33;19;7;28;28,24;31;7,19
27,4;0;19;18,167;12,75;23;34,1;22;20;0;19;14,81;20;15,67
25,3;0;15;22,25;17,625;27;30,7;24;21;0;17;20,46;24;23,16
30,8;19,2;15;13,5;17,917;25;0;25;20;0;12;17,04;20;24,92
32,7;21,2;14;19,208;17,25;19;0;28;33;13;22;0;23;22,63
36,2;28,8;19;22,625;19,542;30;0;28,4;38;18;24;0;24;21,96
42,1;22;21;36,167;32,958;42;45,8;0;47;7;38;41,08;29;15,92
24,5;11,4;10;23,875;21,5;23;12,8;22;20;7;20;18,33;22;10,33
29,8;28;18;30,042;23,875;25;36,5;21;19;10;19;16,76;26;13,4
32,5;0;19;36;32,083;35;73,1;19;37;11;26;31,39;33;11,3
27;11,7;13;25,792;26,542;28;12,8;22;38;6;26;25,83;26;10,93
27,5;13,2;15;0;21,708;18;25,6;17;20;13;20;13,24;22;9
19,1;7,3;8;0;22,208;19;20,2;12;15;9;19;7,31;14;5,18
21,7;12,6;15;15,208;20,25;9;0;11;16;11;16;7,87;15;5,98
24,9;10,4;12;23,5;24,333;14;0;15;20;0;21;21,11;18;11,74
18,3;0;9;25,583;22,792;17;0;0;14;0;18;11,85;21;5,08
32,8;0;16;23,625;22,375;16;0;0;17;0;20;15,83;20;9,09
23,6;0;9;17,583;17,25;13;0;0;16;8;20;16,67;24;5,36
23;7;8;12,708;16,208;11;0;0;8;0;15;12,5;15;3,81
21,9;11,2;9;15,167;12,875;11;0;0;8;6;17;9,26;5;3,85
21;10,8;9;22,667;16,083;15;14,7;12;11;4;19;31,76;18;3,74
26,1;15;10;21,792;15,75;13;20,1;11;12;0;18;19,35;21;5,59
32,7;21,4;14;24,474;26,708;18;9,2;10;12;0;22;21,76;34;8,8
27,9;0;10;0;23,25;14;18,3;9;16;0;21;23,89;16;7,2
31;11,3;16;0;23,75;16;20,1;13;14;9;20;9,07;20;12,38
20,1;14,7;15;27,542;28,458;22;23,8;17;16;4;26;22,96;35;7,5
27,5;12,3;13;25;25,083;16;16,5;16;11;0;23;17,78;26;11,18
24,4;14,5;15;0;22,333;16;11;16;13;0;22;25,83;23;12,26
19,6;12,3;11;20,609;19,25;19;11;14;16;0;22;17,13;24;9,62
21,8;7;9;16,208;16,125;15;20,1;10;7;0;12;5,86;19;8,42
24,8;10,4;11;18,292;18,833;16;16,5;9;9;0;14;20,09;20;5,24
26,4;14,7;0;17;16,75;17;12,8;12;13;2;19;15,09;25;4,96
29,3;10,6;0;22,583;22,125;20;49,3;16;18;7;23;26,57;41;10,71
13,5;8,6;0;18,917;19,333;16;18,2;16;16;4;5;10,09;0;6,17
15,1;9;0;15,042;14,667;15;20,1;14;9;2;18;15,19;0;6,69
9,2;11,9;0;12,125;11,833;15;18,2;0;8;1;0;9,81;0;7,79
15,2;0;0;11;11,375;9;16,4;0;5;5;0;11,85;0;9,7
18,1;0;0;13,958;12,333;11;12,7;0;16;0;0;13,98;0;8,32
11,2;9,9;0;0;14,917;13;23,7;0;11;10;0;10,46;0;6,99
16,4;11,5;12;0;29,167;24;18,3;0;12;6;0;12,22;0;7,64
15,8;7;8;0;21,625;18;20;0;11;3;0;8,8;0;4,48
13,9;7;9;16,958;17,708;16;20,1;9;9;2;0;8,15;0;4,75
14,9;9,1;10;20,292;24,375;19;9,1;6;11;6;0;13,24;0;4,89
21,7;0;11;28,583;23,25;19;9,1;9;15;2;0;24,72;0;4,72
18,5;0;14;14,292;13,708;10;9,1;11;15;4;0;14,17;0;4,1
21,5;10,3;12;11,292;12,083;12;12,8;14;9;6;0;7,59;0;6,07
24,1;9,9;12;15,75;16,458;19;21,9;11;18;8;0;15,56;5;9,3
24,4;11,9;13;17,083;16,333;17;31,1;11;16;0;0;13,43;14;8,04
14,9;7,5;8;19,042;18,5;14;21,9;11;16;0;11;11,85;11;8,75
13,6;7;7;10,35;10,667;11;7,3;6;5;0;5;3,98;12;6,21
18,8;7;7;0;12,125;17;5,5;5;7;0;5;5,37;13;4,29
16,8;7;9;0;11,75;14;7,3;7;9;0;5;6,85;10;7,02
25,9;16,7;13;0;17,792;0;9,1;10;12;0;19;19,44;5;6,54
