DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;MpTarnowWIOSSoli6303;MzPlockReja;MzRadomTochter;MzWarszUrsynow;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor;WmPuszcz_IOS_Borecka
30,9;24,8;0;0;24,625;0;0;19;19;37;0;22,04;10;10,04
26,3;21,3;0;0;33,545;19;23,8;26;22;15;31;20,09;24;9,19
23,9;7,3;0;0;39,263;44;34,7;31;29;8;33;27,22;26;9,53
13;8,8;0;0;8,391;0;12,8;14;11;8;11;12,5;5;5,44
8,7;7,1;0;10,375;7,25;13;11;11;7;5;5;5;5;2,58
8,9;7,7;0;12,917;9,958;10;9,1;8;10;6;5;4,07;5;1,16
19,9;12;0;27,375;17,917;12;16,4;17;19;13;20;17,59;17;2,97
25,7;8,4;0;47,542;27,208;23;18,3;26;21;18;27;28,52;11;2,65
32;16,5;0;41,125;28,636;36;20,1;25;18;10;28;21,02;23;3,06
47,5;29,1;0;58,583;42,826;37;22;37;31;17;40;37,41;30;6,86
17,8;40,7;0;47,625;44,875;0;20,1;32;30;8;33;29,72;29;5,83
14,7;0;0;39,583;38,722;24;14,6;19;19;8;25;29,63;25;2,83
11,1;0;0;22,625;24,417;29;12,8;18;15;5;15;13,33;13;2,63
24,9;19,8;0;34,5;28,958;0;7,3;25;16;4;20;25,19;17;3,09
36,5;26,4;0;45,125;36,708;0;0;23;17;6;32;0;27;6
51,4;27,7;0;50;41,625;0;23,8;40;36;13;35;28,7;28;10,76
27,3;29,3;0;29,375;28,417;0;16,5;38;31;12;29;27,78;23;1,18
21,7;9,2;0;26,708;24,042;0;18,3;17;11;12;5;19,81;19;0,99
20,1;17;0;36,667;25,667;0;18,3;18;12;14;19;13,7;16;2,33
32,4;0;0;43,917;32,792;0;16,5;17;16;26;25;27,04;25;4,8
43,2;46;0;44,875;43,783;0;21,9;46;32;10;35;38,8;37;6,47
48,7;53,9;0;60,625;60,083;0;20,1;51;32;17;53;58,61;50;7,12
34,9;37,8;0;44,75;47,958;0;18,3;33;36;10;34;35,28;30;4,06
21,6;20,9;0;39,667;39,542;0;14,6;25;19;6;13;22,5;27;2,52
21,9;13,6;0;74,792;25,75;0;18,3;19;20;9;22;15,46;18;2,11
37,9;0;0;54,25;35,5;0;18,3;29;0;15;33;41,57;37;5,05
37,9;0;0;47,167;38,25;0;0;34;0;20;36;41,11;35;7,17
40,6;23,6;0;41,917;0;0;0;28;0;6;41;31,48;39;5,06
13,6;9;0;32,167;0;0;0;13;0;9;29;21,57;25;0,42
12,4;13,2;0;33,864;25;0;0;14;0;6;19;19,07;25;2,6
11,2;7,3;0;32,375;24,583;0;12,8;13;13;4;18;15,93;10;0,82
11,4;7,1;0;16,652;16,542;0;14,7;8;9;5;12;10,74;18;0,27
14,5;11,4;0;0;37,333;0;16,5;14;13;5;14;9,35;17;7,39
11,4;8,1;0;0;30,5;0;12,8;11;12;3;13;14,26;5;3,8
22,9;22,7;0;37,542;34,542;0;11;20;11;7;28;25,93;29;1,23
33,2;20,2;24;47,833;37,583;0;18,3;24;24;11;0;49,91;30;3,39
20,2;17,2;22;30,417;28,667;0;11;25;20;10;0;18,43;19;3,44
16,3;10,8;14;22,375;22,458;0;12,8;17;13;5;0;17,04;5;0,73
17,2;23,8;25;31,917;21,125;0;9,1;21;17;13;24;20,93;20;2,6
27,3;18,3;19;41,083;29,708;0;14,8;33;15;5;30;32,22;23;2,37
14,3;15,6;27;32;26,583;34;0;16;17;10;13;26,94;19;2,95
1,2;7,5;15;0;12,917;15;0;14;10;3;5;11,3;5;1,13
4,4;7;12;9;13,792;0;0;9;6;2;5;4,81;5;0,81
3,1;7;11;11,958;13,542;0;0;7;4;16;5;0;5;0,7
5,4;7,2;32;22,292;22,458;19;0;11;12;2;22;6,48;20;1,28
17,6;23,7;30;30,333;25,125;25;18,3;12;20;20;12;32,41;11;7,32
14,3;64,2;49;34,583;36,625;28;18,3;20;36;21;28;18,33;36;14,34
10,3;97,1;49;73,136;64,333;44;27,4;30;51;18;83;31,57;37;23,64
34,4;45,3;58;60,167;55,417;60;14,6;38;52;21;71;45,28;44;20,4
